location,date,thanks,text
"Inglewood, CA","Nov. 8, 2025 They are all professional liars. Don",8,"They are all professional liars. Don’t trust this company. They lured me in by promising that my bill will be around 90 dollars for 2 unlimited phone lines and one all in unlimited internet plan, but they later pulled the rug under my legs and asked me to pay over 250 dollars, then later over 170 dollars because they claimed they gave me a discount. After arguing with them, they brought the bill down to around 118 dollars. They are mega corporation scum. Do not trust this thieving company. Go with companies like Lycamobile."
"Louisville, KY","Nov. 8, 2025 Promises made have never been kept by T",8,"Promises made have never been kept by T-Mobile, either the website nor their behind-the-counter salespeople. It's a total disgrace lie and a scam, warranty phone return took 3 days to get a phone I should have had when it came in stock the day after I ordered it, still haven't got my phone yet, the phone was in stock the stores sales clerk brought it out, plugged it into the system and it never was received at their office for customer service. That's why I never would recommend or trust T-Mobile for anything ever again, after 12 years, I'm telling T-Mobile adios amigo, your service sucks."
"Federal Way, WA","Nov. 7, 2025 I went to the T",7,"I went to the T-mobile store in Federal way on 34919 Enchanted parkway. Federal Way, WA. There I was met with the manager ** who was very polite and professional. Great guy!! ** was my salesperson and rep and she was fantastic. She was knowledgeable, professional, polite and thorough. I ended up buying the iPhone 17 Pro Max because of her. She is definitely an asset to the company. Thank you so much ** and **."
"Denver, CO","Nov. 7, 2025 I HATE T",7,"I'm a student and documents take forever to load in my own home. T-moble is awful, I wouldn't recommend this no matter the price or fancy promotion that they're advertising. The only good thing was the customer service. When speaking to the agents, not the AI bot, all of them were incredibly sweet and patient and answered whatever questions I had even if the answers weren't always credible."
"Tallahassee, FL","Nov. 7, 2025 I give the T",7,I give the T-Mobile in Tallahassee on North Monroe St 1 star. I called in to purchase a modem and internet service. The employee Chris told me to come in. I get there and as we are completing the transaction...he tells me they are out and his Mgr is out and he would pick some up and to come back. So I comes back and still no modem. So I ask for the Mgr and he has this don't care attitude after I told him what happened. He never assured me or apologized for this. I had to follow him just to talk. He wouldn't even stop and reassure me on anything. I have did business at this store several times and will not be going back there. I'm currently waiting on the regional Mgr to reach out to me. Meanwhile I called the one on Tennessee St and got excellent customer service. They earned my business. I will never do business with the one on Monroe St ever again because of the experience I got.
"Dover, NJ","Nov. 7, 2025 Horrible service, they hold you on the phone for hours hoping you get so fed up you don",7,"Horrible service, they hold you on the phone for hours hoping you get so fed up you don't call back. Then you finally get to that point you have to fight to get somebody to cancel a line for you. What they say and what they do are two very different things at T-Mobile. I have now spent 6 hours on this trying to get resolved. Imagine getting charged for a promo and never getting the promo but still getting charged. Now after spending over an hour on the phone again today to get the promo removed that we never got, they tell me you now have to call billing to get your money back!!!! What a scam. Verizon here I come."
"Lake Charles, LA","Nov. 7, 2025 T Mobile is the absolute worst. My husband is in the Navy and got t mobile after bootcamp for a few weeks. He turned in his router and canceled and we were charged for a few months after that and several times he went into the t mobile store and canceled. Each time they told him it was canceled now and he won",7,T Mobile is the absolute worst. My husband is in the Navy and got t mobile after bootcamp for a few weeks. He turned in his router and canceled and we were charged for a few months after that and several times he went into the t mobile store and canceled. Each time they told him it was canceled now and he won't be charged again. We were still charged several more times. I contacted them because I wanted a refund because it is absolutely ridiculous. They swore his account was cancelled and we would get a refund. Refund was never put out and they started claiming he never returned the router. They charged us $187 yesterday even though they charged us well over $500 over times we didn't even have an open account. They are the biggest scam.
"Oakland, CA",11/7/2025 0:00,7,"T-Mobile at Marina Blvd & Teagarden St. San Leandro CA. The two amazing ladies that served me were Jean ** and Thoupisey **. They were very friendly, witty and their customer service was top notch. I highly recommend them."
"Asheville, NC","Nov. 7, 2025 They",3,They’ll rob you blind. They won’t send bill and when you try to cancel they’ll give you the runaround and magically disconnect wasting 15-20 minutes each time you call. Never again will I ever get their services in any way. Definitely will not recommend to any of my friends and family for their use. But I will make them aware of their subpar service.
"San Diego, CA","Nov. 6, 2025 Darion",6,"Darion & Armando were very helpful, they fixed an issue with our account without hesitant and had great attitudes. They made sure to get us the best plan and explained thoroughly what we were paying and offering good plans for upgrades will be coming back to this Calexico store from this point forward."
"Willowbrook, IL","Nov. 6, 2025 They blacklisted my Samsung S21 after I tried transferring my phone number to Metro by T",6,"They blacklisted my Samsung S21 after I tried transferring my phone number to Metro by T-Mobile. I thought they were both affiliated as I was told by one of Metro's employees. I wasn't able to transfer my phone number, and the fella behind the counter tried to help. I tried calling T-Mobile to which they said my phone wasn't blacklisted. The phone works fantastic with WiFi but it does NOT accept any other service. I had switched because they were too expensive and wanted to add two extra lines. I lost my phone number, my phone - to which I had to purchase another phone and get a new line but with a different carrier (much better). Not going back to T-Mobile."
"Kansas City, MO","Nov. 6, 2025 Why can",6,"Why can't you leave a 0 as a review, came today to the store to buy a new phone waited 45 minutes and never got waited on, went back to work and ordered the phone online, messages that phone was ready, had to wait another 30 minutes just to pick up the phone, my advice is if you want a phone order it online and let them ship it you will probably get your phone faster."
"Charlotte, NC","Nov. 6, 2025 Bill never stay the same. It gets higher and higher every month even if you pay on time. Don",2,Bill never stay the same. It gets higher and higher every month even if you pay on time. Don’t trust them. It happens to me and now my son. He pays 220 for two phone lines and internet which started out and 150.00.
"Winchester, VA","Nov. 6, 2025 I went to the Kernstown Commons T",6,Very deceptive and misleading. She wasn't transparent at all. Never wanted to mention that the taxes and fees would add 30% to the total monthly bill. Just be honest. I asked for an itemized invoice for the $64.69 and never received one. Very disappointed with the lack of knowledge and clarity. She just went to the back office and a nice man helped me until the end. He was very helpful. The last 5 minutes of the interaction loud talking was coming from both their cellphones. I guess this was their way of asking me to leave the business.
"Arlington, TX","Nov. 6, 2025 I called to speak with a customer service rep who couldn",6,"I called to speak with a customer service rep who couldn't resolve my concern, so I asked to be transferred to a higher tier, in which my concern still wasn't resolved. When the call ended, I received a text message that $20 plus taxes was added to my bill because I called to speak with a customer service rep. This is unfair."
"Fort Payne, AL","Nov. 6, 2025 The most incompetent so call representatives",6,"The most incompetent so call representatives! I have had the worst experience. Been on the phone for 4.5 hours! The whole time I was transfer at least 14 times and yes I was counting because it's just ridiculous! The lack of communication between the departments are REAL!!! EVERYONE IS JUST PASSING THE BUCK! I would strongly advise anyone who gets the home internet from TMobile and If you are experiencing any problems do not call, I repeat do not call 'cause you will be sorry! I wasn't even in the system. How in the world that happened when you shipped the product to my home! Hmm, but I bet when the bill is due you will find me then! So incompetence and ignorance is roam at TMobile so please be aware!"
"Houston, TX","Nov. 6, 2025 My name is Ramona",2,My name is Ramona **. I have purchased the Razr Flip 7. I purchased the phone the end of September. The 1st of October my life has been miserable ever since the supervisor's lie and tell you they're gonna get it resolved. They're gonna get it resolved. They have taught the employee to lie to you as well. I have talked to everybody in the company and I'm still with a broken Razr Flip phone. I only had it a month. I hate I am a T-Mobile customer. And I have tried to be fair. I have tried to resolve the problem before leaving them and going to Verizon. This is just sad. I'm so unhappy being a T-Mobile customer.
"San Francisco, CA",11/5/2025 0:00,5,"A week or two later, I received a collection agency notice in the mail, and a phone call from a collection agency. I told them what happened. They gave me an account number. A week or two later, I received a collection agency notice in the mail, and a phone call from a collection agency. I told them what happened. They gave me an account number and told me to call T-Mobile for a dispute. T-Mobile told me that they couldn’t help me because I couldn’t remember the pin. So I am still on the collection agencies list. I’m hoping to find a lawyer who can help me sue T-Mobile for harassment."
"Philadelphia, PA","Nov. 5, 2025 I was initially quoted a bill of",2,"I was initially quoted a bill of $103, but the actual charge was $230. Upon contacting T-Mobile, I was informed that the higher amount was only for the first month. However, the second bill also arrived at $230."
"Edmonds, WA","Nov. 5, 2025 My phone service and internet service is wonderful. It always has been the best phone carrier for me for over 25 years. What used to be great, and now is awful, is their customer service. They definitely want you to do everything in their app and they don",5,"My phone service and internet service is wonderful. It always has been the best phone carrier for me for over 25 years. What used to be great, and now is awful, is their customer service. They definitely want you to do everything in their app and they don't want you to call to talk to somebody. If you do call to try to get through to customer service, you will have a minimum of a half an hour wait time. What used to be the reason that I referred all my friends to T Mobile has become nearly non-existent."
"Marysville, WA","Nov. 5, 2025 I was a T",2,"A number of months later, I was notified by Experian I had been set to collections. I spent about 12 hours trying to sort this out and talked to T Mobile Customer Service who could not provide any information as my account had been closed and the few dollars owed was sold to their collection agency. I called Credence Collection Agency, whose main office was overseas. The Supervisor said, “Thank you you being a great Customer, and yes you have always paid on time since you were in autopay...you owe 109.00 ( a full month) and we will stop the procedures against you."" I paid…. My credit score had been 820 and it went down to 670…I paid a bill I  did not owe, I was given no notice that there was a problem. No one emailed me on the same email I had communications on with T Mobile for years. 26000 emails (it worked fine) No letter, No call Zip. I had called T Mobile so many times that when I asked the fellow at CS if this happens his reply was tens of thousands... It would seem they sweep their accounts and off you go to collections. I’m 78 years old, have perfect credit before T Mobile got finished with me. I’m not angry, I’m disappointed at their Greed and lack of due diligence. It's really a statement as to their business practice. It's disgusting, I'm retired and debt-free, God only knows what happens to others. I filed a report with my state's Attorney General but we all know that will go in a dead letter file, but maybe I can help others avoid this scam. Yes my collection will fall of in 2032, hopefully prior to my drooling in a bowl of oatmeal at an assisted living facility. Just be careful, this is not a decent Company, they have lost their way. Old and Wiser…good luck."
"Lynbrook, NY","Nov. 5, 2025 Can I charge way too much for postpaid accounts and I was told at Walmart when I purchased a T",5,Can I charge way too much for postpaid accounts and I was told at Walmart when I purchased a T-Mobile phone there that there was prepaid service but I was told at the T-Mobile store that there's not a prepaid service but yeah I see reviews and stuff online for prepaid services so as of today I went back to AT&T because $30 a month is a lot better than 80 or 90 a month.
"Round Rock, TX","Nov. 4, 2025 We have been customers for 23 years. Last year they called to give us a free phone update. Then I found it was being charged to our bill. We returned the phones and have the UPS tracking number to prove it. They still keep billing me monthly",2,We have been customers for 23 years. Last year they called to give us a free phone update. Then I found it was being charged to our bill. We returned the phones and have the UPS tracking number to prove it. They still keep billing me monthly **! I have called 4 times! 4! No action on their part. I see that if we have a dispute that we have to go thru arbitration. For the $2000 erroneous invoice we are going to go thru the arbitration process. No customer care for 24 year customers!
"Land O Lakes, FL","Nov. 4, 2025 I cancelled my account with T",3,"Also, as these discussions were going on, for each month I got a $7 late fee. At one point we agreed on the original amt. Which would be $79.91 and they were going to send a bill. I waited another month and that bill never came and I was charged another $7 late fee. I also requested a copy of my account (3 times) which would have included all correspondence including a copy of the letter that stated cell phone service was paid up front. Of course I never received it. At this point they turned it over to a collection agency (Service Receivables Management) who is complicit in this fraud. Finally all that publicity on the WEB about T-Mobile “typically” not charging a termination fee was not experienced by me. They hit me with an over $30 termination fee. I cannot see a reason they decided to add the termination fee just for me."
"Hampton, GA","Nov. 4, 2025 I want to say that Tmobile expert Mathew",4,I want to say that Tmobile expert Mathew ** is top notch on customer service. He explained everything on point. While helping me he stopped to go outside to speak with an elderly gentleman and check on him. I felt so comfortable with no pressure. Somebody needs to give this man a raise. Thank you Mathew.
"White Oak, TX",11/4/2025 0:00,2,"Called T-Mobile and now I got to verify a fictitious account I don't have. I don't know no 6 digit pen to verify so they can ""help"" me. I hang up. I call back. I am able to provide this pin number and they still can't help me. They need to send a one time pin to me and they can't send it because I'm not an active customer. I am to go to the store upset so they can see me upset so they can call police on an angry black male so we can all see it on the nightly news. Wow so I called a T-Mobile store, not an authorized dealer. The guy there says even if I go to the store with my ID, the account has been written off. They still can't help me. So I would have hopped in my car to go to T-Mobile for nothing but to get arrested or shot and something."
"Zelienople, PA","Nov. 4, 2025 They will let anyone set up an account, charge you for the start up and ship your equipment but good luck getting help activating it. Tech support barely speak English and give you the run around. When you finally get a supervisor they just tell you to go to your local store. It",4,"They will let anyone set up an account, charge you for the start up and ship your equipment but good luck getting help activating it. Tech support barely speak English and give you the run around. When you finally get a supervisor they just tell you to go to your local store. It's been the worst experience with a cell phone company I've ever had."
"Detroit, MI","Nov. 4, 2025 I had a horrific experience with T",4,"I had a horrific experience with T-Mobile last Friday. I wasted OVER 4 hours with them to my dismay. I sent an email to the new CEO Friday night and IMMEDIATELY received a response from the Executive Offices wherein Mr. ** could not have been nicer, more understanding, most accommodating and professional. He took care of the problem without hesitation and kept me as a 23 year T-Mobile customer. Thank you, Mr. **. You were a breath of fresh air."
"Milford, OH","Nov. 4, 2025 I",4,"For quite some time, I’ve raised concerns about rising monthly costs for four phone lines and inconsistent home internet. I was previously promised a lower internet rate, yet my bill continued to increase without explanation. This most recent situation—combined with broken promises in the past—made it clear that I needed to move on. I’m not sharing this to complain, but to help others make informed decisions. Consistency, transparency, and honoring agreements matter, especially when families are trying to save money. I truly hope T-Mobile improves these areas moving forward."
"Biloxi, MS","Nov. 4, 2025 Where to start. July 25, 2025, we ordered",4,"Where to start. July 25, 2025, we ordered $1994.98 worth of phones from T-Mobile, we're not T-Mobile customers at this point. My wife and I waited until September 20, 2025, after never receiving the phone and multiple attempts for refunds, I finally started sending the CEO Mike Sievert, messages on LinkedIn! Now after that nightmare, my wife starts getting calls from collection agency stating we owe T-Mobile $573.00 dollars for services rendered on an account that we never opened because we never received a product. I have emailed Mike Sievert and I plan on filing a BBB case as well as opening a case in small claims court. T-Mobile is the absolute worst company."
"Tucson, AZ","Nov. 3, 2025 Came in person to get an ongoing issue resolved. Should I be shocked it couldn",3,"Months later looking into this we see they have been charging us every month since April still for services we don't have. Apparently there's an extra line that wasn't closed. Keep in mind we weren't able to intervene so we are thinking everything has been closed. Talking to CARE at the store over the phone they weren't helpful and blaming us saying they can't do anything so then we get transferred to someone ""higher up"" and said they can't do anything but credit our latest payment. She also tried to tell us everything was closed but a free line wasn't, which we never had access to or even had a phone or sim card supplied. Between carriers they failed to close the account completely when we signed documents that they were. All I wanted was credit to us since changing carriers in April and all I'm getting is rude and unhelpful reps. I asked to talk even higher up about this and they said sure it will take 72 hours to hear from anyone so keep an eye out on your phone for a call. This is very unprofessional and unacceptable that there is no one that can help with any of this and you have to patiently wait at your phone for a call from someone. We came in on a day off in person to get this resolved. I work a high stress environment healthcare job. I can't be by my phone every minute waiting for a call and dropping what I'm doing. Very unhappy and will be seeking action for better customer service and credit to us for services."
"China Grove, NC","Nov. 3, 2025 After having a phone number with T",2,"After having a phone number with T-Mobile for a couple months, I decided to cancel it. Just wasn't satisfied with the price. After canceling it and paying the final bill, I was then sent another bill. It was appearing to be ANOTHER final bill. Even though I thought it wasn't right to get another bill, I decided to go ahead and pay it and get it over with. But I could not log into the website to pay it because I canceled my number. Since I canceled the number, I could not get the verification code. Since I couldn't get the verification code I could not log into pay the bill. The only way I could pay it was to reconnect my service and pay reconnection fees and all of those other littles BS fees.... which I was not going to do! They turned me into collections. So they've got you either way."
"North Myrtle Beach, SC","Nov. 3, 2025 I had T",3,"I just called T-mobile and was told that they do owe me this refund, but because I cannot remember my T-mobile account pin, the money will not be refunded to me. I am sure this is illegal. People forget pins all the time and there has to be a way to reset them. They said because the account is closed they cannot reset my pin, and they would keep my money that they had promised to refund to me after the final bill. I am sure this is illegal. After telling me T-mobile would not refund my money, the T-mobile representative hung up on me."
"Kansas City, MO","Nov. 2, 2025 17 calls",2,"17 calls (average) each time I try to call customer service just to find a rep who can speak English. And then I get HORRIBLE TECH SUPPORT, or lack of. Unable to get Voice to Text. This makes me feel like I'm using a phone from 1980. I paid a fortune for a phone that won't do this simple function. I'm completely outraged and incredibly disappointed in TMobile."
"Red Bank, NJ","Nov. 2, 2025 My wife and I switched from Verizon to T",2,"My wife and I switched from Verizon to T-Mobile in good faith. We researched the service map and it indicated that our home was covered by “Extended G5 Area.” However, when we got home, we had one bar of service — our sound quality and signal reliability was poor. Dealing with the T-Mobile store and with customer service has been a nightmare. We are a dozen separate calls and over eight hours in. We are still stuck at “square one.”"
"Aurora, CO","Nov. 2, 2025 T Mobile has been charging me for insurance for month one and empty line. And will not refund me for their mistakes. Do trust t mobile is a fraud. I had 2 phones for my grandchildren that was supposed to have the insurance not an empty line. Thanks for your vote",2,T Mobile has been charging me for insurance for month one and empty line. And will not refund me for their mistakes. Do trust t mobile is a fraud. I had 2 phones for my grandchildren that was supposed to have the insurance not an empty line.
"Washington, DC","Nov. 2, 2025 Last year, I added another number to my account. It was suppose to come with a gift card to Sam",2,"Last year, I added another number to my account. It was suppose to come with a gift card to Sam's Card & I have never received it. I contacted customer service a couple times, they claimed it would get resolved and I have yet to receive it. When I spoke with one of the reps they basically said it was my issue and not theirs. I sent an email complaining about the service and the failure to follow the agreement. I haven't received anything and it will be a year next month."
"Council Bluffs, IA","Nov. 2, 2025 Tried to switch my service to T",3,"Tried to switch my service to T-Mobile. When trying to activate over the phone, the rep and myself had issues understanding each other. I canceled the service and returned the phones within a few days. I got credit back for the taxes and phones in a timely matter. Also received confirmation the phones returned to them okay. Months later I kept getting bills in increasing price. Multiple attempts to correct over the phone. They hung up on me a few times like the call was dropped. I told them I refused to pay for a service I was not using. I was sent to collections a couple months later. I sent them a certified mailed letter with their policy highlighting on it where it said I didn't owe the money. The case was dropped. I found out the other day this happened to a coworker a few years after mine."
"Charlotte, NC","Nov. 2, 2025 I am currently a T",4,"I am currently a T-Mobile customer, and I have been dealing with the same problem and calling about the same problem month by month, for a year and a half. They NEVER fix my problems or issues, put you on HOLD, when they choose not to listen and get mad, they don't know how to do their jobs. Bad phones, horrible service, and the WORST customer service."
"Anoka, MN","Nov. 1, 2025 I Live in a suburb of Minneapolis and had T",5,"I Live in a suburb of Minneapolis and had T-Mobile cell and Internet Wi-Fi for five years with no issues. Then one day my service kept getting interrupted. No Internet, no Wi-Fi, no cell service when I called their customer service. They flipped some sort of switch and I got my service back. Then it happened again a couple days later and I called back again and this time I was told there was a tower down and it wasn’t going to be replaced so there was no longer service at my address, but they still were taking my money and not telling me they did not cover my area anymore. Their TV commercials that say they have coverage in the middle of nowhere are ridiculous. I live 20 miles from the large city of Minneapolis, Minnesota, Minnesota and I do not have service."
"Houston, TX","Nov. 1, 2025 I",5,"I've been T-Mobile prepaid customer for many years. I renew on December 20th for several years. Last year I have $70 balance as of December 20. I add $30 on that date so as not to lose the $70 balance. T-Mobile forfeit my $70 balance anyway. I called T-Mobile and spoke to Lisa for more than 30 minutes to plea my case to no avail. In conclusion, T-Mobile is a robbery."
"Suffolk, VA","Nov. 1, 2025 Changed mobile service last month on Oct 10th. They let all the phone lines switch, but mine",4,"Changed mobile service last month on Oct 10th. They let all the phone lines switch, but mine (the primary). Said it may take up to 24 hours before it switches. 24 hours go by, then 48 hours go by and still no new phone service. New service redoes the request and it starts working. THEN, I get bill today for $118 for service thru Nov 4th. I call up T-mobile to have them tell me, ""Well you had the service 2 more days"" before I changed service!! I just paid Oct bill on the 1st, so I should not have received any bill. They would not even refund me for service I didn't receive for Oct 10th- Nov. I was a long time customer, but if you're that greedy for money, I won't be back ever!!"
"Farmington, MI","Nov. 1, 2025 Our fiber went out yesterday. It took three phone call before it was confirmed to be a local outage. My daughter works from home and relies on the internet. She needs to provide documentation of internet outage as verification that she cannot work. After another three phone call, it was confirmed that T",1,"Our fiber went out yesterday. It took three phone call before it was confirmed to be a local outage. My daughter works from home and relies on the internet. She needs to provide documentation of internet outage as verification that she cannot work. After another three phone call, it was confirmed that T-Mobile could not provide an email or text documenting the local outage. I called again today for an estimate of when service might be restored. NOPE! T-Mobile cannot provide an estimate of restoration or a promise of an estimate. No documentation of the outage and no estimate of when it might be restored. Nothing but frustration. TERRIBLE CUSTOMER SERVICE!"
"Kansas City, MO","Nov. 1, 2025 I needed help setting up my home Internet and my customer service rep was Vicki, who did an excellent job of walking me through it and helping me to get it all done and I just wanted to tell you that she",1,"I needed help setting up my home Internet and my customer service rep was Vicki, who did an excellent job of walking me through it and helping me to get it all done and I just wanted to tell you that she's great at her job. Thank you, Vicki."
"Corona, CA","Nov. 1, 2025 I saw on TV that T",1,"I saw on TV that T-Mobile is offering a free new iPhone after trading in your old phone whatever its condition. I went to T-Mobile in Corona. I was shocked when I found that it’s a big scam. I have iPhone 11, I will get 150$ deduction from the price of the new iPhone. The representative explained that “You haven’t read the fine print of the advertisement""... though T-Mobile was a very efficient company with wide coverage even abroad. I am really disappointed. If you are not willing to make a promotion or rewards to loyal customers, then keep providing your best service, which you are the best till now."
"Acton, MA","Oct. 31, 2025 Typical bait and switch, total waste of time. Their website shown some good promotion",31,"Typical bait and switch, total waste of time. Their website shown some good promotion (bait), I was interested and started ordering there. T-Mobile website validated my numbers for porting in and I was able to add new plans with phones to the cart, and the cart shown the total prices with the promotion applied. The trick started when you submit the order, it said something wrong and I need to contact representative. Started a chat with an online agent, he confirmed the promotion then he asked me to fill out a form full with private information before he checked my number to validate if the porting qualified their promotion. So I end up giving all my information they ask, later was told that the network where I plan to port from does not qualify their promotion, then offered me something else (switch) I'm not interested at all. Total waste of time!"
"Fort Lauderdale, FL",10/31/2025 0:00,31,"T-Mobile was not good for me. More expensive than they told me at sign up. Somehow I got to about $20 more than I expected to pay. Coverage is not good where I live. (Palm Beach) and when I went to cancel my account, I had to go in to verify myself. I have an account number, address, security questions, but didn’t have the right pass code number, so I couldn’t be verified. Total hassle cancelling my account. I had to go into a store to get my account closed. I have a credit on my account, and now I have to go in to a T-Mobile store again to get my $10 back."
"Phoenix, AZ",10/31/2025 0:00,31,"I said what? Nothing, I want a free phone like you, Verizon, and AT&T give to new subscribers. He said Well, we can upgrade, and we can give you a discount toward the purchase of a new phone. I decided to walk and am going to check what the other services have to bring me on board. It looks like we should all play the game and switch from one service to another to get better deals because T-Mobile doesn't care if they keep you or not."
"New Market, TN","Oct. 31, 2025 This company is a rip off. I tried to use their service and it did not work where I live. I tried to return the stuff and cancelled the service on day two and tried to return the stuff and they would not take it back. I have been waiting on a return label for seven months. This morning I received a text from Harr and Harris for T",31,This company is a rip off. I tried to use their service and it did not work where I live. I tried to return the stuff and cancelled the service on day two and tried to return the stuff and they would not take it back. I have been waiting on a return label for seven months. This morning I received a text from Harr and Harris for T-Mobile saying I owe them and they are taking legal action. This tells you how good their customer service is. It's terrible and they don't communicate with each other so I say run as fast and far as you can and get anything but T-Mobile.
